Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV
16.50,34.81,43.95,4.74,5.60,60.38,1.52,27.28,.48,19.97976945
34.20,27.30,33.80,4.70,6.80,44.70,.60,43.00,.20,11.36070769
16.16,36.13,41.33,6.38,5.85,58.80,1.33,26.99,.65,19.76695428
24.81,32.79,36.09,6.31,6.13,51.68,.87,34.68,.33,15.07518108
21.10,33.10,40.00,5.80,6.20,55.00,1.00,31.40,.60,17.52793845
29.20,31.70,35.60,3.50,6.80,50.00,.70,38.60,.40,14.19827108
16.70,36.50,42.80,4.00,6.20,60.10,.90,27.50,1.30,20.38288250
19.50,30.00,46.00,4.50,6.00,57.70,1.30,30.00,.50,18.72702951
27.33,34.25,31.52,6.90,6.33,48.15,1.07,36.96,.59,13.80013365
20.50,33.00,39.60,6.90,6.00,53.80,1.50,30.90,.90,17.38428583
34.00,28.00,33.90,4.10,6.80,45.10,.80,42.90,.30,11.54860852
22.01,34.27,41.69,2.03,6.39,58.47,.70,32.26,.15,18.35341283
31.40,29.70,31.50,7.40,6.70,44.10,.70,40.60,.50,11.95587383
22.48,32.39,42.75,2.38,6.28,57.79,.71,32.70,.14,17.81404236
20.20,33.50,37.60,8.70,5.40,53.40,1.20,30.70,.60,17.32358856
21.10,33.70,34.00,11.20,5.80,49.20,1.10,31.50,1.20,15.98782670
31.00,28.10,30.60,10.30,6.30,41.80,.70,40.30,.60,11.27212835
16.34,33.49,45.17,5.00,5.93,59.73,1.33,27.29,.72,20.19880079
17.80,32.80,45.80,3.60,6.00,60.10,1.10,28.60,.60,19.84836464
32.50,29.50,28.30,9.70,6.50,41.00,.50,41.70,.60,10.82302864
20.20,32.70,42.70,4.40,5.90,57.20,1.20,30.80,.50,18.34366486
19.94,33.35,42.92,3.79,5.99,57.24,1.70,30.59,.69,18.37359739
19.20,34.64,40.96,5.20,5.87,56.80,1.44,29.95,.74,18.20545450
12.50,31.10,39.20,17.20,5.10,51.20,1.20,24.00,1.30,17.94406889
31.19,27.46,36.18,5.17,6.29,46.74,.91,40.60,.29,12.43068490
16.10,32.10,47.00,4.80,6.00,60.40,1.10,27.20,.50,20.58239138
17.10,33.40,45.50,4.00,6.10,60.20,1.10,28.10,.50,20.19649443
23.81,31.87,41.96,2.36,6.31,56.32,.66,34.09,.26,17.15782000
21.26,29.64,47.28,1.82,6.02,59.29,.90,31.83,.14,18.45836907
30.90,30.70,33.40,5.00,6.90,46.30,.70,40.40,.70,12.76574137
21.15,34.92,41.34,2.59,6.30,58.29,.85,31.75,.22,18.39831777
25.71,33.29,31.03,9.97,5.89,47.17,.93,35.80,.24,13.60355823
9.80,33.30,52.20,4.70,5.50,65.60,1.60,21.70,.90,24.05854638
12.60,36.70,45.30,5.40,5.60,62.90,1.30,24.20,.60,21.97529113
18.17,34.68,43.70,3.45,5.85,59.39,1.61,29.15,.55,19.42051211
19.79,28.87,48.37,2.97,6.00,58.12,1.68,30.60,.63,18.65385641
24.87,30.86,39.64,4.63,6.13,52.24,.95,35.12,.93,15.44032001
29.80,30.40,34.70,5.10,6.80,47.50,.80,39.50,.30,13.35370964
11.20,40.90,40.60,7.30,5.80,61.30,1.60,23.00,1.00,22.34774739
18.06,35.93,39.65,6.36,5.99,56.10,1.58,29.10,.87,17.95180646
27.01,33.66,35.05,4.28,6.32,51.11,.93,37.05,.31,14.70896743
11.30,34.10,43.70,10.90,5.30,58.90,1.40,23.10,.40,20.75644245
25.60,25.80,36.80,11.80,5.90,45.60,.50,35.80,.40,13.12216519
17.10,37.14,37.90,7.86,5.66,56.04,1.55,28.28,.61,18.72686329
25.32,28.77,40.01,5.90,5.91,51.96,.52,35.59,.12,14.98856314
20.70,35.30,28.30,15.70,5.80,45.90,.60,31.50,.50,14.46584383
18.50,37.44,40.31,3.75,5.80,58.86,1.57,29.56,.46,19.19819053
33.40,29.00,32.40,5.20,6.80,44.20,.60,42.80,.40,11.60730608
22.82,37.55,32.51,7.12,6.17,50.67,.93,33.41,1.70,15.50292571
34.40,28.20,33.10,4.30,6.90,44.20,.50,43.70,.40,11.31106996
28.45,31.45,36.35,3.75,6.65,50.10,.75,38.45,.30,14.31572271
20.50,32.80,38.70,8.00,6.00,52.60,1.20,31.40,.80,16.97752297
20.60,33.90,42.20,3.30,6.30,57.20,1.40,31.50,.30,18.28496145
6.50,30.80,44.30,18.40,4.60,56.10,1.40,19.00,.50,20.85163892
19.59,30.15,45.98,4.28,5.99,57.27,1.17,30.64,.65,18.65761102
16.10,32.80,47.00,4.10,6.20,60.80,.90,27.60,.40,20.66845725
15.30,34.50,46.50,3.70,6.00,61.50,1.10,26.90,.80,21.39501020
17.35,35.25,40.61,6.79,5.69,56.52,1.58,28.76,.66,18.82576798
10.80,37.20,43.20,8.80,5.50,60.90,1.20,23.00,.60,21.56774614
33.40,29.10,34.10,3.40,6.70,46.00,.50,43.10,.30,11.91683424
30.25,30.72,34.26,4.77,6.43,47.27,.88,40.31,.34,12.77718423
14.10,29.70,46.30,9.90,5.50,57.20,1.00,26.00,.40,19.47432904
27.38,33.28,33.99,5.35,6.25,49.34,.94,37.85,.27,14.12814511
24.50,29.20,39.10,7.20,5.60,50.40,.70,35.30,.80,14.77253362
37.10,30.30,26.90,5.70,6.90,39.50,.70,46.50,.70,9.53002819
21.10,35.00,38.40,5.50,5.90,54.90,.90,32.30,.50,17.38126114
30.10,31.40,33.20,5.30,6.60,46.80,.60,40.30,.40,12.83217315
17.70,39.00,38.20,5.10,6.40,56.50,1.20,29.30,1.50,19.08650105
20.04,39.78,37.52,2.66,5.86,57.90,1.62,31.42,.54,18.32285983
22.37,33.90,38.28,5.45,6.21,53.33,.97,33.49,.55,16.17968233
20.90,34.00,41.20,3.90,6.10,55.90,1.50,32.20,.40,17.92177646
15.00,35.40,34.60,15.00,5.60,50.90,.70,27.10,.70,16.86835532
29.18,31.90,33.43,5.49,6.24,47.42,.96,39.70,.19,13.15585103
18.00,36.80,37.40,7.80,6.30,53.60,1.30,29.80,1.20,18.00718163
16.50,34.50,43.30,5.70,5.90,58.10,1.30,28.50,.50,19.57806239
43.40,24.00,24.50,8.10,6.60,32.10,.50,52.40,.30,6.36586958
19.50,38.10,33.60,8.80,6.10,51.80,1.40,31.20,.70,16.59280675
11.50,32.50,39.30,16.70,5.10,52.90,.90,24.10,.30,18.67347150
10.80,38.50,44.10,6.60,5.60,62.80,1.10,23.50,.40,22.55224047
26.68,33.96,34.27,5.09,6.23,49.63,1.04,37.61,.40,14.20968501
8.20,33.50,37.50,20.80,5.00,51.00,1.30,21.20,.70,19.49545832
25.78,33.42,37.00,3.80,6.19,52.15,.82,36.82,.22,15.29649715
14.30,34.00,44.30,7.40,5.40,58.80,1.00,26.70,.70,19.79534843
19.18,34.04,44.18,2.60,5.87,58.58,1.41,31.04,.50,18.82786704
13.90,34.60,46.00,5.50,5.50,60.80,1.30,26.40,.50,20.66786563
14.60,32.30,42.70,10.40,5.20,54.90,1.30,27.10,1.10,18.35691839
20.00,34.30,40.00,5.70,5.90,54.80,1.40,31.90,.30,17.38207928
26.90,32.29,36.38,4.43,6.09,50.20,.86,38.09,.33,14.24509598
18.30,35.40,41.40,4.90,6.20,56.80,1.10,30.50,.50,18.79547022
17.50,35.10,43.70,3.70,6.10,58.50,1.50,29.80,.40,19.51630832
19.10,34.80,41.70,4.40,6.10,56.60,1.10,31.30,.50,18.25440682
15.60,35.60,44.40,4.40,6.00,59.80,1.30,28.20,.30,20.39725522
24.05,36.83,33.68,5.44,6.04,51.63,.91,35.72,.26,15.39196427
22.70,34.90,32.60,9.80,6.20,48.30,.60,34.60,.50,14.89104750
14.40,31.40,46.50,7.70,5.20,58.10,1.00,27.30,.70,19.33463481
10.20,36.20,46.90,6.70,5.40,62.50,1.20,23.60,.60,22.66220198
13.80,33.30,44.30,8.60,5.40,58.00,.80,26.80,.40,19.93105203
17.50,34.40,44.10,4.00,5.90,58.30,1.40,30.10,.30,19.36293851
23.80,33.10,37.80,5.30,6.10,50.70,1.40,35.90,.60,15.15739890
15.40,36.10,44.70,3.80,5.90,60.00,1.50,28.50,.30,20.30779829
41.80,25.20,23.40,9.60,6.30,30.90,.70,52.00,.50,6.27533492
16.00,34.30,45.80,3.90,5.80,60.00,.80,29.10,.40,19.87115029
23.70,35.51,36.12,4.67,6.07,51.77,.97,36.24,.28,15.35108114
14.50,34.60,44.50,6.40,5.50,58.50,1.00,28.20,.40,19.53042061
34.70,28.30,24.30,12.70,5.90,33.70,1.00,46.30,.40,7.89064435
21.90,32.70,37.80,7.60,5.60,50.00,1.20,35.00,.60,15.11775429
17.10,36.70,42.00,4.20,6.00,57.70,.90,30.80,.40,19.16803031
39.10,26.70,28.60,5.60,6.30,36.80,.60,50.40,.30,7.93931571
39.70,27.20,26.70,6.40,6.20,35.30,.70,51.00,.40,7.31448509
14.80,38.60,38.40,8.20,5.70,55.80,.70,28.90,.70,18.84831309
35.10,31.00,25.00,8.90,5.90,36.00,.90,47.00,1.30,8.12871968
24.30,29.80,31.30,14.60,5.30,41.00,1.10,37.70,.30,11.43418409
38.80,27.50,28.40,5.30,6.20,37.00,.70,50.60,.20,7.94972627
30.40,28.20,30.90,10.50,5.40,39.20,1.10,43.60,.20,9.57473781
22.10,31.90,39.10,6.90,5.10,49.40,1.10,36.70,.80,14.41137598
18.70,34.20,36.40,10.70,5.50,48.90,.90,33.70,.30,15.26503662
22.00,33.20,40.30,4.50,5.60,51.60,1.30,36.70,.30,15.26169037
23.90,31.60,42.00,2.50,5.60,51.60,1.50,38.40,.40,14.92529925
34.40,28.10,24.70,12.80,5.90,32.30,.90,47.90,.20,7.40859839
26.70,29.40,33.90,10.00,5.20,42.10,1.20,41.10,.40,10.86727350
15.70,36.00,40.40,7.90,5.50,53.30,1.20,31.60,.50,17.55219876
27.20,30.90,35.20,6.70,5.50,44.60,1.10,41.90,.20,11.72374068
29.20,29.90,31.10,9.80,5.50,39.70,.80,43.90,.30,9.95384889
31.70,31.30,31.50,5.50,5.60,41.50,.80,46.30,.30,9.98300004
27.00,32.90,32.90,7.20,5.40,42.90,1.30,42.60,.60,11.17887967
18.90,36.60,35.90,8.60,5.20,47.00,1.40,35.70,2.10,14.30386555
27.30,31.60,27.30,13.80,5.50,35.80,1.10,43.30,.50,9.34248827
23.80,33.60,37.10,5.50,5.00,47.20,1.40,40.50,.40,12.66083734
1.00,25.50,69.40,4.10,5.10,84.30,1.80,4.00,.70,34.23214159
1.20,24.80,56.60,17.40,4.50,71.00,1.70,4.60,.80,28.99700486
10.40,38.10,46.10,5.40,5.80,66.10,1.60,20.20,.90,24.40234514
11.50,34.60,31.60,22.30,5.10,49.10,1.60,15.80,6.10,18.09986088
11.10,33.50,29.20,26.20,4.70,46.80,1.50,16.20,4.60,17.26413526
12.10,40.10,37.90,9.90,5.60,56.70,2.00,19.20,6.60,21.31046378
8.48,37.81,42.34,11.37,5.55,62.06,1.31,18.31,1.40,23.42159834
10.03,35.90,47.81,6.26,5.51,64.73,1.37,19.93,2.20,23.98476851
8.50,36.90,48.20,6.40,5.50,66.50,1.60,19.20,.80,24.66465399
11.70,36.30,48.20,3.80,5.70,66.20,1.10,22.20,1.00,23.57617090
14.50,32.10,46.40,7.00,5.90,59.90,1.00,25.50,.70,20.97311426
10.20,35.30,44.20,10.30,5.30,60.80,.80,21.70,1.10,22.20311502
11.10,36.60,48.60,3.70,5.70,66.60,.60,22.60,.80,24.00511733
15.20,33.40,47.00,4.40,6.10,61.40,1.00,26.40,.70,21.35316406
16.70,35.70,45.40,2.20,5.80,61.70,1.30,28.10,.90,20.36369976
9.50,37.60,48.90,4.00,5.60,67.30,.50,21.80,.80,24.68951849
9.50,39.90,43.50,7.10,5.50,62.70,1.20,22.90,.60,23.00709815
1.00,15.10,77.30,6.60,4.20,84.30,1.20,3.20,.50,33.38321897
1.60,29.40,67.00,2.00,5.10,84.50,1.50,6.40,.50,34.18494238
2.10,24.40,70.60,2.90,4.80,83.20,1.50,7.00,.60,32.85079084
