Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,GCV
11.5,34.6,31.6,22.3,18.09986088
11.1,33.5,29.2,26.2,17.26413526
12.1,40.1,37.9,9.9,21.31046378
8.48,37.81,42.34,11.37,23.42159834
10.03,35.9,47.81,6.26,23.98476851
8.5,36.9,48.2,6.4,24.66465399
11.7,36.3,48.2,3.8,23.5761709
14.5,32.1,46.4,7.0,20.97311426
10.2,35.3,44.2,10.3,22.20311502
11.1,36.6,48.6,3.7,24.00511733
15.2,33.4,47.0,4.4,21.35316406
16.7,35.7,45.4,2.2,20.36369976
9.5,37.6,48.9,4.0,24.68951849
9.5,39.9,43.5,7.1,23.00709815
1.0,15.1,77.3,6.6,33.38321897
1.6,29.4,67.0,2.0,34.18494238
2.1,24.4,70.6,2.9,32.85079084
1.4,30.6,61.7,6.3,32.58160358
2.7,30.7,57.8,8.8,30.50126374
13.8,20.1,50.8,15.3,20.25948868
2.8,34.1,54.6,8.5,30.04096297
10.8,21.6,58.4,9.2,23.53897569
21.0,27.6,40.2,11.2,15.88504255
5.9,30.2,58.1,5.8,26.63378292
24.5,25.6,40.7,9.2,14.29013679
6.1,27.7,49.5,16.7,21.36191741
8.2,30.7,47.9,13.2,21.35387083
15.1,29.9,49.9,5.1,19.61056104
10.3,31.6,49.7,8.4,20.76510536
1.4,19.6,77.0,2.0,34.75148116
3.0,22.0,58.1,16.9,27.63491598
0.9,17.5,76.4,5.2,34.07792559
3.8,18.9,69.3,8.0,30.40012718
2.4,16.3,78.4,2.9,33.90701602
0.8,18.4,76.5,4.3,34.60325717
3.7,17.1,75.0,4.2,32.37882005
3.5,17.4,70.9,8.2,30.89412702
4.9,24.0,66.3,4.8,31.51345257
9.5,19.3,68.2,3.0,28.79022861
2.0,17.0,76.5,4.5,33.5219929
1.5,18.3,73.8,6.4,32.93747095
1.9,23.1,71.7,3.3,34.00514297
1.5,18.9,70.0,9.6,31.79795587
2.6,21.0,72.1,4.3,32.84165313
1.6,20.0,75.3,3.1,34.18494238
2.2,21.3,72.3,4.2,33.31722096
2.4,22.9,68.3,6.4,32.45548696
2.5,18.8,71.3,7.4,31.76497906
1.6,17.4,75.2,5.8,33.31603269
2.7,28.7,63.9,4.7,32.51379554
2.5,25.2,63.4,8.9,30.97872326
5.1,21.8,67.6,5.5,30.60043326
7.4,23.1,59.4,10.1,27.42510541
2.6,24.4,68.2,4.8,32.77354822
6.3,23.9,63.0,6.8,29.36647118
3.0,23.9,67.6,5.5,31.98060328
1.5,25.1,67.3,6.1,32.8921048
2.1,32.6,52.1,13.2,28.98331546
0.6,18.0,73.4,8.0,32.54546977
3.3,24.2,67.8,4.7,32.04121806
2.8,27.0,66.4,3.8,32.55729805
1.2,25.4,67.0,6.4,32.73952801
3.0,37.1,50.5,9.4,29.92960133
2.7,29.6,62.3,5.4,32.52072125
3.1,28.3,64.2,4.4,32.2158147
5.1,24.7,66.2,4.0,30.89367483
1.8,30.4,63.6,4.2,33.51516222
2.5,30.4,55.2,11.9,29.61277732
3.5,15.5,66.7,14.3,28.19227476
2.7,37.1,51.7,8.5,30.55137334
3.7,25.0,63.7,7.6,30.87041855
1.4,26.9,67.2,4.5,33.49810439
1.6,29.3,60.0,9.1,31.49581316
3.4,28.0,64.2,4.4,31.83092808
3.5,30.2,59.7,6.6,31.14099882
0.9,26.8,61.9,10.4,31.45721697
1.2,22.8,56.9,19.1,27.55079496
1.0,37.7,53.8,7.5,32.47211939
2.2,29.3,64.3,4.2,32.9421294
2.3,31.1,61.2,5.4,32.56810009
2.3,32.9,51.8,13.0,29.10327804
1.8,31.2,56.9,10.1,31.11684611
3.0,30.5,63.3,3.2,33.05605935
2.6,32.7,60.4,4.3,32.50643018
3.6,27.9,65.3,3.2,32.29135488
2.1,30.4,58.4,9.1,31.19025636
2.5,33.9,60.2,3.4,32.88190318
2.7,36.3,51.6,9.4,30.05149955
2.7,38.2,52.6,6.5,31.00113753
1.5,32.6,63.6,2.3,33.8988208
2.4,34.4,57.6,5.6,31.53234389
3.6,34.4,57.1,4.9,31.45140751
1.8,38.4,52.6,7.2,31.0506488
3.6,32.5,57.6,6.3,31.06836568
2.0,34.0,53.7,10.3,30.41336312
2.0,30.9,64.4,2.7,33.08909897
2.4,34.6,55.3,7.7,30.99701082
2.5,31.2,60.6,5.7,31.96909531
2.6,34.0,58.3,5.1,31.98809884
2.3,34.1,55.5,8.1,30.85368814
2.5,35.4,58.7,3.4,32.88190318
3.2,34.2,60.5,2.1,32.68878994
2.2,35.7,54.8,7.3,30.83326311
3.2,32.5,60.6,3.7,31.95316754
3.2,31.6,62.6,2.6,32.32442381
5.2,33.0,59.6,2.2,31.32592312
3.7,35.2,59.3,1.8,32.4707515
2.6,34.4,58.6,4.4,32.16019627
1.4,32.4,57.6,8.6,31.3216214
2.7,36.4,54.9,6.0,31.66152499
1.2,37.9,53.1,7.8,31.36198826
1.3,36.3,53.6,8.8,30.94013085
1.5,35.9,48.1,14.5,28.38270999
2.3,27.5,64.3,5.9,31.44438507
1.9,17.8,76.7,3.6,33.99405286
3.6,31.4,56.5,8.5,30.60015859
3.2,31.0,59.9,5.9,31.01043602
1.5,24.5,70.4,3.6,33.94459937
4.6,27.3,60.1,8.0,29.40476088
4.2,30.5,60.5,4.8,31.37799181
3.6,29.1,58.2,9.1,29.92811997
2.16,33.9,55.0,8.94,30.74345984
2.1,31.0,63.3,3.6,33.03278968
2.5,30.2,61.2,6.1,31.78743185
2.8,31.3,62.8,3.1,32.98625117
3.7,31.2,53.2,11.9,28.39754327
0.7,39.0,51.4,8.9,31.54606469
3.2,35.5,54.5,6.8,30.74982709
1.7,31.7,55.8,10.8,30.54103815
1.8,32.8,56.2,9.2,31.05763858
2.8,30.4,54.2,12.6,28.93887087
